title	onet_code	onet_name	job_zone	company	city	state	description_all
UNIT SECRETARY	43-6013.00	Medical Secretaries	2	Faulkner Hospital	BOSTON	MA	"General Overview\\n\\nBrigham and Women’s Faulkner Hospital is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, national origin, protected veteran status, or on the basis of disability.\\n\\nResponsibilities\\n\\nUnder the supervision of the Nurse Director and the Charge Nurse, the secretary performs a wide range of secretarial duties and coordinates unit operations to ensure professional and efficient function of the department. Proven ability to function in a very fast paced environment while interacting with various members of a health care team. Proven ability to manage multiple priorities in a calm, purposeful, and self directed manner. Excellent customer skills required. Meditech experience a plus.\\nPer Diem hours are either 7a-3:30p, 7:30-4p, or 4p-10p weekdays and weekends\\nThis is a locked inpatient psychiatry unit. Prior hospital experience a plus."
"Part Time Lot Coordinator (Port Newark, New Jersey)"	53-6021.00	Parking Lot Attendants	1	Hertz	NEWARK	NJ	"Control the flow of cars in and out of our storage lot for maintenance, in service, auction, car sales, etc., marking cars with “hats” indicating appropriate fleet status.  Direct all Hertz and vendor car/truck drivers to correct staging area, and enter correct status in the fleet computer system.   Ensure cars are ready to be moved off the lot as appropriate.  The Lot Attendant must drive vehicles to the appropriate staging area in a safe manner.    Candidates must be able to work in a fast-paced customer service environment in all weather conditions."
Mckesson Paragon Jobs in California- Mckesson Jobs	33-9032.00	Security Guards	2	Soliant Health	RICHMOND	CA	"Mckesson Paragon Jobs in California- Mckesson Jobs * Job Location: Richmond, CA * Category: Health Information Technology - Informatics * Apply Now! * Back to Results Soliant Health is looking for a McKesson Paragon Analyst for a full-time permanent job opportunity in California. -Must have extensive McKesson Paragon experience -Must have PACS experience -Must have a Bachelor’s Degree -Must have a clinical background. If you would like to be considered for this McKesson Application Analyst full-time permanent job opportunity, apply to this posting or contact Ryan Taylor at 561-712-5571, or email ryan.taylor@soliant.com."
Business Office-Switchboard Operator(PRN)	43-2011.00	"Switchboard Operators, Including Answering Service"	2	Community Health Systems	CLEVELAND	TN	"*Business Office-Switchboard Operator(PRN)-1218751##DescriptionResponsible for operating a multi-line switchboard.- Operates in house paging system in a professional manner.- Maintains a general information center for the facility acting as a receptionist and welcome center to all incoming patients, guests and vendors.- Directs all persons that present to the appropiate area.##QualificationsMinimum Basic Qualifications: - High School diploma or equivalent - Experience with multi-line switchboard Other Required Qualifications: - Strong written and verbal communication skills - Ability to work with minimal supervision Preferred Qualifications: - Previous experience in healthcare - Computer literate (Windows Applications, HMS, AS400)*Job:* Telephone Operator - PBX*Primary Location:* TN-Cleveland (Chattanooga region)*Organization:* Skyridge Medical Center*Employee Status:* PRN*Shift:* Rotating*Forecasted paid hours per shift:* 8*Req ID:* 1218751"
Business Office-Switchboard Operator(PRN)	43-2011.00	"Switchboard Operators, Including Answering Service"	2	Community Health Systems Professional Services Corporation	CLEVELAND	TN	"Responsible for operating a multi-line switchboard.? Operates in house paging system in a professional manner.? Maintains a general information center for the facility acting as a receptionist and welcome center to all incoming patients, guests and vendors.? Directs all persons that present to the appropiate area.Minimum Basic Qualifications: - High School diploma or equivalent - Experience with multi-line switchboard Other Required Qualifications: - Strong written and verbal communication skills - Ability to work with minimal supervision Preferred Qualifications: - Previous experience in healthcare - Computer literate (Windows Applications, HMS, AS400)"
Lead Restaurant Supervisor	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Casino Arizona	SCOTTSDALE	AZ	"High school diploma or general education degree (GED). Minimum 5 years high-volume restaurant experience. At least 2 years supervisory experience. POS experience strongly preferred. Knowledge of Arizona State Liquor Laws - Title 4 and/or Arizona Alcohol Awareness certification a plus.\\n \\n\\n \\nAssists in overseeing all facets of the front-end operation of the F&B department.\\n\\nSupervises the Dining Shift Supervisor who supervises employees in a specific food outlet. Responsible for the overall direction, coordination, and evaluation of these units. Carries out supervisory responsibilities in accordance with Casino Arizona policies and procedures. Responsibilities include interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems."
G Lift Driver Dry Weekend 1st	53-7051.00	Industrial Truck and Tractor Operators	2	Walmart Military	OPELIKA	AL	"Position Type Hourly Shift 4 Position Description Ensure freight quality Maintain merchandise supply Manage freight flow Organize warehouse Provide basic maintenance to equipment (e.g., clean, inspect). Job Role G_Lift Driver Dry Weekend 1st Location OPELIKA"
Swing Shift Security Officer for Prestigious Mall	33-9032.00	Security Guards	2	West - Universal Protection Service	AMARILLO	TX	"Universal Protection Service , the largest retail security provider in the industry, invites you to apply today to be one of our dynamic Professional Security Officers. At Universal Protection Service, our vision is to be exceptional-to maintain exceptional people, to provide exceptional service and to create exceptional results. Universal Protection Service seeks passionate applicants who love working with people. We are seeking Security Officers to wor Qualified Professional Security Officer Applicants will meet the following criteria: High school diploma or equivalent required. Must be minimum 25 years of age or older, and have no points on DMV in last 3 years to drive our vehicles. Must be able to obtain a valid Guard License as required in the state for which you are applying. As a condition of employment, employee must successfully complete a background investigation and a post-offer/pre-employme"
Assistant Manager(05906) - 4896 HWY 1	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Dominos Pizza	RACELAND	LA	"ABOUT THE JOB As a Domino's Pizza Assistant Managers, your success is vital to our business. As you learn to lead a Team, you will receive training in the fundamentals of product quality, sanitation, interviewing, and hiring. In our fast-paced environment, you will learn the skills to ""Handle the Rush"" and be trained in the important leadership skills needed to develop our Team."
Cemetery Operations -Grandview Memory	37-3011.00	Landscaping and Groundskeeping Workers	1	Stewart Enterprises	BLUEFIELD	VA	"Under general supervision: Performs tasks of grounds maintenance requiring the knowledge of use and general maintenance of mechanized equipment Including: Weedeaters, walk behind mowers, hedge-trimmers and edgers Performs routine tasks in the set-up and completion of interments and entombments Assists in the general maintenance of cemetery, mausoleum and funeral home appearances Assists in all other tasks as directed by supervisor Must be able to lift at least 50 lbs. Qualifications, Experience & Physical Requirements Must possess a valid Drivers license in good terms Must be able to read, comprehend and relay simple instructions Must be able to withstand regular periods of sitting, walking, bending, kneeling, reaching and lifting Must be able to frequently lift and or move by pushing or pulling, at least 50 lbs. Employee will be regularly exposed to moving mechanical parts and equipment, outside weather conditions and usually loud work environment Required Skills Required Experience"
